Target: http://cozyhosting.htb/
Total requests: 4989
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00377:  C=301      7 L	      12 W	    178 Ch	  "www.store"
00379:  C=301      7 L	      12 W	    178 Ch	  "m2"
00375:  C=301      7 L	      12 W	    178 Ch	  "v"
00376:  C=301      7 L	      12 W	    178 Ch	  "clients"
00373:  C=301      7 L	      12 W	    178 Ch	  "intra"
00374:  C=301      7 L	      12 W	    178 Ch	  "rt"
00371:  C=301      7 L	      12 W	    178 Ch	  "payment"
00369:  C=301      7 L	      12 W	    178 Ch	  "webconf"
00370:  C=301      7 L	      12 W	    178 Ch	  "ww"
00368:  C=301      7 L	      12 W	    178 Ch	  "noc"
00367:  C=301      7 L	      12 W	    178 Ch	  "autoconfig.dev"
00366:  C=301      7 L	      12 W	    178 Ch	  "b2b"
00363:  C=301      7 L	      12 W	    178 Ch	  "client"
00365:  C=301      7 L	      12 W	    178 Ch	  "autodiscover.dev"
00362:  C=301      7 L	      12 W	    178 Ch	  "autoconfig.test"
00359:  C=301      7 L	      12 W	    178 Ch	  "autodiscover.test"
00361:  C=301      7 L	      12 W	    178 Ch	  "free"
00383:  C=301      7 L	      12 W	    178 Ch	  "domain"
00385:  C=301      7 L	      12 W	    178 Ch	  "link"
00389:  C=301      7 L	      12 W	    178 Ch	  "smtp3"
00397:  C=301      7 L	      12 W	    178 Ch	  "pda"
00406:  C=301      7 L	      12 W	    178 Ch	  "css"
00405:  C=301      7 L	      12 W	    178 Ch	  "public"
00404:  C=301      7 L	      12 W	    178 Ch	  "autoconfig.forum"
00403:  C=301      7 L	      12 W	    178 Ch	  "images7"
00402:  C=301      7 L	      12 W	    178 Ch	  "ms"
00401:  C=301      7 L	      12 W	    178 Ch	  "tech"
00399:  C=301      7 L	      12 W	    178 Ch	  "c"
00400:  C=301      7 L	      12 W	    178 Ch	  "ns01"
00396:  C=301      7 L	      12 W	    178 Ch	  "mail01"
00395:  C=301      7 L	      12 W	    178 Ch	  "mars"
00398:  C=301      7 L	      12 W	    178 Ch	  "images5"
00394:  C=301      7 L	      12 W	    178 Ch	  "www.ads"
00393:  C=301      7 L	      12 W	    178 Ch	  "images6"
00392:  C=301      7 L	      12 W	    178 Ch	  "assets"
00391:  C=301      7 L	      12 W	    178 Ch	  "mdm"
00388:  C=301      7 L	      12 W	    178 Ch	  "dc"
00390:  C=301      7 L	      12 W	    178 Ch	  "zabbix"
00387:  C=301      7 L	      12 W	    178 Ch	  "internal"
00386:  C=301      7 L	      12 W	    178 Ch	  "ns11"
00384:  C=301      7 L	      12 W	    178 Ch	  "barracuda"
00407:  C=301      7 L	      12 W	    178 Ch	  "autodiscover.forum"
00413:  C=301      7 L	      12 W	    178 Ch	  "fs"
00409:  C=301      7 L	      12 W	    178 Ch	  "www.video"
00421:  C=301      7 L	      12 W	    178 Ch	  "server3"
00437:  C=301      7 L	      12 W	    178 Ch	  "origin-www"
00452:  C=301      7 L	      12 W	    178 Ch	  "idp"
00449:  C=301      7 L	      12 W	    178 Ch	  "pbx"
00451:  C=301      7 L	      12 W	    178 Ch	  "auto"
00448:  C=301      7 L	      12 W	    178 Ch	  "market"
00450:  C=301      7 L	      12 W	    178 Ch	  "careers"
00447:  C=301      7 L	      12 W	    178 Ch	  "ip"
00445:  C=301      7 L	      12 W	    178 Ch	  "shopping"
00446:  C=301      7 L	      12 W	    178 Ch	  "webdisk.demo"
00444:  C=301      7 L	      12 W	    178 Ch	  "test3"
00443:  C=301      7 L	      12 W	    178 Ch	  "mailhost"
00442:  C=301      7 L	      12 W	    178 Ch	  "directory"
00439:  C=301      7 L	      12 W	    178 Ch	  "banner"
00436:  C=301      7 L	      12 W	    178 Ch	  "cas"
00438:  C=301      7 L	      12 W	    178 Ch	  "cisco"
00441:  C=301      7 L	      12 W	    178 Ch	  "w"
00440:  C=301      7 L	      12 W	    178 Ch	  "mercury"
00434:  C=301      7 L	      12 W	    178 Ch	  "wwww"
00435:  C=301      7 L	      12 W	    178 Ch	  "voip750101.pg6.sip"
00433:  C=301      7 L	      12 W	    178 Ch	  "images8"
00432:  C=301      7 L	      12 W	    178 Ch	  "php"
00431:  C=301      7 L	      12 W	    178 Ch	  "atlas"
00428:  C=301      7 L	      12 W	    178 Ch	  "vod"
00430:  C=301      7 L	      12 W	    178 Ch	  "cache"
00427:  C=301      7 L	      12 W	    178 Ch	  "board"
00429:  C=301      7 L	      12 W	    178 Ch	  "www.my"
00426:  C=301      7 L	      12 W	    178 Ch	  "in"
00424:  C=301      7 L	      12 W	    178 Ch	  "faq"
00425:  C=301      7 L	      12 W	    178 Ch	  "health"
00423:  C=301      7 L	      12 W	    178 Ch	  "kb"
00420:  C=301      7 L	      12 W	    178 Ch	  "o1.email"
00422:  C=301      7 L	      12 W	    178 Ch	  "img3"
00416:  C=301      7 L	      12 W	    178 Ch	  "www.chat"
00415:  C=301      7 L	      12 W	    178 Ch	  "student"
